STREETSEGID,BIKEINCIDENTS,PEDINCIDENTS,PEDFATALITIES,LVL1,LVL2,LVL3,RISK_SUM,RISK_INDEX,
5,1,1,0,0,1,0,3,1,33
9,1,1,0,0,0,1,3,1,
14,0,1,0,0,0,0,0,1,
15,3,2,0,1,2,0,7,2,
22,2,0,0,0,2,0,6,2,
24,0,1,0,0,0,0,0,1,
26,2,3,0,0,2,0,6,2,
29,0,2,0,0,0,0,0,1,
30,0,1,0,0,0,0,0,1,
31,1,1,0,1,0,0,1,1,
32,1,2,0,0,1,0,3,1,
34,0,1,0,0,0,0,0,1,
35,1,1,0,0,1,0,3,1,
39,0,1,0,0,0,0,0,1,
42,0,1,0,0,0,0,0,1,
43,0,1,0,0,0,0,0,1,
44,1,1,0,0,1,0,3,1,
45,0,1,0,0,0,0,0,1,
46,1,0,0,0,1,0,3,1,
48,0,1,0,0,0,0,0,1,
49,0,1,0,0,0,0,0,1,
50,0,1,0,0,0,0,0,1,
53,1,1,0,0,1,0,3,1,
55,2,5,0,0,1,1,6,2,
56,3,3,0,1,1,1,7,2,
59,1,0,0,0,1,0,3,1,
63,0,1,0,0,0,0,0,1,
64,1,1,0,1,0,0,1,1,
66,0,1,0,0,0,0,0,1,
69,2,3,0,0,2,0,6,2,
74,2,2,0,1,1,0,4,1,
75,1,0,0,0,1,0,3,1,
82,1,1,0,0,1,0,3,1,
84,1,0,0,0,1,0,3,1,
88,0,1,0,0,0,0,0,1,
91,1,5,0,1,0,0,1,1,
94,1,3,0,1,0,0,1,1,
132,7,2,0,0,7,0,21,3,
144,0,1,0,0,0,0,0,1,
146,0,1,0,0,0,0,0,1,
148,1,0,0,0,1,0,3,1,
159,0,2,0,0,0,0,0,1,
161,0,1,0,0,0,0,0,1,
164,6,9,1,3,2,1,12,3,
168,0,1,0,0,0,0,0,1,
173,1,0,0,0,1,0,3,1,
175,0,2,0,0,0,0,0,1,
181,1,1,0,1,0,0,1,1,
184,2,1,0,0,1,1,6,2,
193,0,3,0,0,0,0,0,1,
195,1,0,0,0,1,0,3,1,
196,0,3,0,0,0,0,0,1,
199,1,0,0,0,0,1,3,1,
204,0,1,0,0,0,0,0,1,
209,3,11,0,0,3,0,9,2,
210,0,2,0,0,0,0,0,1,
218,0,2,0,0,0,0,0,1,
228,1,0,0,0,1,0,3,1,
237,1,2,0,0,1,0,3,1,
238,1,0,0,0,1,0,3,1,
241,1,0,0,1,0,0,1,1,
242,1,0,0,0,0,1,3,1,
246,0,6,0,0,0,0,0,1,
248,0,1,0,0,0,0,0,1,
251,1,3,1,0,1,0,3,1,
253,0,3,0,0,0,0,0,1,
257,0,1,0,0,0,0,0,1,
261,1,2,0,0,1,0,3,1,
263,1,0,0,0,1,0,3,1,
267,0,1,0,0,0,0,0,1,
276,0,1,0,0,0,0,0,1,
279,0,1,0,0,0,0,0,1,
280,2,3,0,0,2,0,6,2,
286,0,1,0,0,0,0,0,1,
287,1,1,0,0,1,0,3,1,
292,1,3,0,1,0,0,1,1,
295,0,1,0,0,0,0,0,1,
297,0,1,0,0,0,0,0,1,
304,1,2,0,0,1,0,3,1,
308,1,1,0,1,0,0,1,1,
338,1,0,0,1,0,0,1,1,
339,2,1,0,0,2,0,6,2,
343,0,2,0,0,0,0,0,1,
345,1,0,0,0,1,0,3,1,
347,0,1,0,0,0,0,0,1,
349,0,1,0,0,0,0,0,1,
