OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Leng,Shape_Area,FAGI_TOTAL,FAGI_MEDIA,FAGI_TOT_1,FAGI_MED_1,FAGI_TOT_2,FAGI_MED_2,FAGI_TOT_3,FAGI_MED_3,FAGI_TOT_4,FAGI_MED_4,FAGI_TOT_5,FAGI_MED_5
1,003400,11001003400,4347,4152,576,3392,20,97,3,64,157,66,45,8,239,528,3295,8,90,3,16,143,61,40,5,3997,538,3129,15,86,3,53,140,59,40,8,200,500,3043,8,79,3,14,129,55,35,5,1347,1025,322,266.264200589999973,0.416037820000000,4800.865938637453837,1077532.996600870275870,53344073.000000000000000,39287.000000000000000,75037699.000000000000000,43117.000000000000000,59287920,38099.000000000000000,70436558.000000000000000,40413.000000000000000,79636907.000000000000000,42596.000000000000000,92096567.000000000000000,46152.000000000000000
2,003500,11001003500,3740,3594,626,2681,14,106,0,167,91,26,28,8,371,530,2620,11,106,0,7,70,24,25,7,3398,581,2444,13,104,0,131,85,26,23,8,292,508,2387,10,104,0,7,70,24,20,7,1189,964,225,94.352383209999999,0.147425600000000,2982.473558434312508,381830.550236599287018,46454657.000000000000000,30673.500000000000000,66239783.000000000000000,32859.500000000000000,55914150,30555.500000000000000,60909648.000000000000000,32885.000000000000000,78873551.000000000000000,40450.000000000000000,97549566.000000000000000,44843.000000000000000
3,003600,11001003600,4208,4048,1773,1645,13,161,0,456,58,39,44,11,809,1521,1604,8,158,0,14,49,20,41,9,3680,1691,1378,11,149,0,324,50,31,35,10,616,1473,1346,7,146,0,11,44,19,32,8,2308,1987,321,75.521647970000004,0.118002580000000,2293.465280386086306,305625.267934718285687,110621750.000000000000000,35858.000000000000000,161376203.000000000000000,42788.500000000000000,147954698,40355.000000000000000,153247476.000000000000000,40692.000000000000000,143081526.000000000000000,41616.000000000000000,178040405.000000000000000,46806.000000000000000
4,003700,11001003700,5763,5507,1915,2527,22,212,10,821,134,60,55,15,1514,1490,2405,13,206,7,16,65,34,45,7,4798,1782,1988,17,193,9,605,106,50,49,10,1125,1450,1906,9,188,6,15,55,26,41,7,2570,2401,169,72.231863099999998,0.112862290000000,2297.040643539268785,292311.980827425955795,103905996.000000000000000,32263.000000000000000,162058134.000000000000000,41387.500000000000000,126923023,35705.500000000000000,143596631.000000000000000,38248.000000000000000,140501730.000000000000000,39131.000000000000000,181651966.000000000000000,45690.500000000000000
5,003800,11001003800,4614,4419,2884,825,22,261,1,426,77,37,78,7,935,2456,796,10,257,1,26,59,27,68,3,4177,2726,729,18,240,1,313,53,35,64,6,738,2364,705,8,236,1,22,39,26,55,2,2861,2625,236,87.921651749999995,0.137377580000000,2708.295073802764364,355806.303173665073700,155960140.000000000000000,48799.000000000000000,209040361.000000000000000,54786.000000000000000,196678623,52077.000000000000000,213601983.000000000000000,54908.000000000000000,213544242.000000000000000,56380.000000000000000,235619338.000000000000000,60561.000000000000000
6,003900,11001003900,4474,4304,3285,563,21,225,4,206,88,43,59,3,553,2995,546,13,224,3,21,55,25,57,3,4225,3145,528,20,208,4,181,72,34,49,3,492,2884,511,13,207,3,17,46,24,47,3,2996,2806,190,99.080501179999999,0.154813280000000,3408.080643644377687,400964.564907711814158,155878056.000000000000000,51160.000000000000000,206237963.000000000000000,59470.000000000000000,211741280,56264.500000000000000,215163653.000000000000000,58480.000000000000000,179473697.000000000000000,58736.000000000000000,214640250.000000000000000,63630.000000000000000
7,006500,11001006500,2531,2469,2088,228,13,113,1,26,19,13,32,7,123,1999,222,11,112,1,10,17,9,31,6,2296,1913,212,11,97,1,18,11,8,25,5,102,1837,207,10,96,1,6,9,6,24,4,1543,1320,223,122.570172069999998,0.191515900000000,3386.495881359591749,496023.890978902229108,120078372.000000000000000,76911.000000000000000,138021124.000000000000000,79139.000000000000000,138113790,75279.000000000000000,153834127.000000000000000,75784.000000000000000,137875103.000000000000000,89279.000000000000000,156307500.000000000000000,92684.000000000000000
8,001500,11001001500,5911,5729,4877,643,7,145,2,55,67,34,97,8,304,4642,637,6,144,2,21,62,27,86,8,4371,3609,521,7,119,2,34,33,21,36,5,205,3444,517,6,118,2,15,31,16,30,5,2126,2081,45,1161.050946869999962,1.814142120000000,10650.327087649649911,4698606.508980236947536,505817116.000000000000000,135878.000000000000000,464768292.000000000000000,136868.000000000000000,531571394,140516.000000000000000,611814393.000000000000000,147108.000000000000000,586301676.000000000000000,158383.000000000000000,623341016.000000000000000,165589.000000000000000
9,001600,11001001600,3957,3799,997,2670,8,55,1,68,114,51,45,0,200,930,2621,4,55,0,15,104,45,37,0,3239,801,2255,6,48,1,42,59,41,19,0,136,756,2219,3,48,0,6,57,39,16,0,1685,1620,65,667.006080959999963,1.042197010000000,8627.683622023952921,2699277.858553777914494,239860892.000000000000000,88449.500000000000000,206050056.000000000000000,86508.500000000000000,241106479,84972.000000000000000,253855939.000000000000000,89084.500000000000000,280146313.000000000000000,97830.500000000000000,285179163.000000000000000,99800.500000000000000
10,001702,11001001702,2644,2519,1020,1342,6,79,1,71,94,34,29,2,212,918,1325,5,78,1,8,77,33,25,1,2273,888,1175,5,70,1,55,57,26,18,1,155,815,1162,4,69,1,6,45,25,17,1,1312,1230,82,229.815972619999997,0.359087460000000,4873.125958318270932,930032.250283735920675,85001437.000000000000000,53846.500000000000000,99172867.000000000000000,57746.000000000000000,95489279,53472.500000000000000,101908307.000000000000000,56393.000000000000000,112274193.000000000000000,59101.000000000000000,118391616.000000000000000,59590.000000000000000
11,000100,11001000100,4890,4808,4444,105,9,201,2,47,17,12,47,2,296,4202,101,8,198,2,15,16,10,43,2,4305,3924,93,8,184,2,33,11,12,30,2,257,3711,90,7,181,2,9,10,10,26,2,2999,2686,313,585.846013900000003,0.915384400000000,10028.236285226843393,2370834.717973996419460,551823378.000000000000000,89357.000000000000000,444019426.000000000000000,86101.500000000000000,563927063,88250.000000000000000,806141206.000000000000000,92634.000000000000000,856267279.000000000000000,108308.000000000000000,698565228.000000000000000,110944.500000000000000
12,000201,11001000201,3916,3736,2940,259,7,482,5,43,47,20,117,6,275,2740,249,4,480,5,7,40,16,115,6,3902,2931,259,7,478,5,43,47,20,116,6,272,2734,249,4,476,5,7,40,16,114,6,2,2,0,133.326166610000001,0.208322140000000,3249.765438143140727,539551.856818469590507,65709.000000000000000,12201.500000000000000,627662.000000000000000,23000.000000000000000,,,282896.000000000000000,21739.500000000000000,1389012.000000000000000,5087.000000000000000,1043062.000000000000000,8785.000000000000000
13,000202,11001000202,5425,5294,4705,159,5,375,3,47,33,16,76,7,343,4438,150,3,370,3,12,27,14,68,6,5061,4384,155,4,360,3,43,26,15,65,7,320,4132,146,3,355,3,10,22,14,59,6,2143,1933,210,305.039464280000004,0.476624170000000,6742.459376772281757,1234450.922434970969334,379656242.000000000000000,116867.000000000000000,244019719.000000000000000,95033.500000000000000,365051633,109460.500000000000000,390987146.000000000000000,106470.000000000000000,433631252.000000000000000,114630.000000000000000,429158437.000000000000000,115586.000000000000000
14,000300,11001000300,6233,6076,5497,139,11,352,1,76,48,20,93,9,404,5186,135,10,348,1,10,44,18,89,9,5542,4900,123,9,323,1,71,36,21,60,7,344,4644,121,8,319,1,8,32,16,59,7,2912,2754,158,252.603195809999988,0.394692500000000,4077.691319468202437,1022248.871353996684775,274689743.000000000000000,66914.500000000000000,306388942.000000000000000,58822.000000000000000,356897869,58959.500000000000000,371428724.000000000000000,61936.500000000000000,322647481.000000000000000,73252.000000000000000,358002514.000000000000000,70413.000000000000000
15,000400,11001000400,1455,1428,1247,50,2,103,0,26,9,2,15,1,123,1149,46,1,103,0,12,6,2,15,1,1218,1032,43,2,100,0,23,7,1,10,1,104,949,39,1,100,0,10,5,1,10,1,690,636,54,378.382824369999980,0.591223170000000,5949.909533558943622,1531260.972011119127274,244811632.000000000000000,104934.000000000000000,130390459.000000000000000,110621.000000000000000,224772922,101766.000000000000000,221418072.000000000000000,102512.000000000000000,260450481.000000000000000,130923.500000000000000,296162003.000000000000000,121711.000000000000000
16,000501,11001000501,3376,3267,2853,124,7,249,1,33,32,18,64,3,231,2689,122,3,246,1,4,18,9,60,3,3195,2729,114,5,232,1,28,25,17,47,3,201,2585,112,3,229,1,2,13,9,45,3,2186,2027,159,233.384263750000002,0.364662910000000,6813.633099265326564,944472.612260386114940,157450900.000000000000000,65919.000000000000000,182269099.000000000000000,68973.000000000000000,196513698,64763.500000000000000,210628169.000000000000000,70218.000000000000000,260010497.199999988079071,72707.000000000000000,243419505.000000000000000,76949.500000000000000
17,000902,11001000902,2092,2021,1861,67,4,77,1,11,28,12,40,2,107,1776,63,3,77,1,5,22,9,37,2,1544,1388,50,1,67,1,7,9,8,16,2,71,1327,48,1,67,1,4,7,6,15,2,862,833,29,538.801955189999944,0.841878060000000,8704.287792662948050,2180454.165696435607970,218882503.000000000000000,121032.000000000000000,176273097.000000000000000,113487.000000000000000,226114271,117436.000000000000000,262353665.439999997615814,121474.500000000000000,282158382.000000000000000,142212.000000000000000,318502754.000000000000000,148690.000000000000000
18,001001,11001001001,7436,7168,6342,298,17,432,2,77,74,33,172,9,512,5925,295,9,427,2,22,61,28,164,8,5918,5097,249,14,365,2,65,38,23,71,8,387,4786,248,9,362,2,13,30,19,67,8,2834,2727,107,606.401784359999965,0.947502790000000,6507.906512504414422,2454020.970143166370690,441410751.000000000000000,114136.500000000000000,445020421.000000000000000,105423.500000000000000,482792403,109646.000000000000000,523214776.000000000000000,110482.500000000000000,563657398.000000000000000,128283.000000000000000,567841867.000000000000000,131571.000000000000000
19,001002,11001001002,3442,3329,2788,185,7,311,0,38,35,24,59,6,271,2564,178,5,311,0,9,32,24,56,5,3226,2637,165,7,297,0,33,24,22,44,6,241,2438,159,5,297,0,8,21,20,43,5,2342,2089,253,219.834053439999991,0.343490710000000,3952.278513422604192,889636.856290747411549,119559942.000000000000000,74658.000000000000000,134639759.000000000000000,76705.000000000000000,130340038,74072.000000000000000,142883669.400000005960464,76636.500000000000000,124109798.000000000000000,78338.000000000000000,144272959.000000000000000,79814.500000000000000
20,004001,11001004001,3745,3623,3237,139,5,162,8,72,33,26,60,5,345,2999,133,5,162,3,3,28,26,50,5,3486,3034,131,5,157,6,57,26,25,42,5,289,2825,130,5,157,3,2,23,19,40,5,2489,2305,184,68.162548400000006,0.106503980000000,2361.335361650590585,275844.048415666329674,203836328.000000000000000,72807.000000000000000,230295472.000000000000000,77629.000000000000000,253288626,74273.000000000000000,262839923.000000000000000,78314.500000000000000,242543416.000000000000000,78459.500000000000000,269573000.000000000000000,85301.500000000000000
