OBJECTID,TRACT,GEOID,Total,White,Black,Native,Asian,Hispanic,ACRES,SQ_MILES,Shape_Leng,Shape_Area
1,tract3400,11001003400,4347,576,3392,20,97,239,266.2642006,0.41603782,4800.865939,1077532.997
2,tract3500,11001003500,3740,626,2681,14,106,371,94.35238321,0.1474256,2982.473558,381830.5502
3,tract3600,11001003600,4208,1773,1645,13,161,809,75.52164797,0.11800258,2293.46528,305625.2679
4,tract3700,11001003700,5763,1915,2527,22,212,1514,72.2318631,0.11286229,2297.040644,292311.9808
5,tract3800,11001003800,4614,2884,825,22,261,935,87.92165175,0.13737758,2708.295074,355806.3032
6,tract3900,11001003900,4474,3285,563,21,225,553,99.08050118,0.15481328,3408.080644,400964.5649
7,tract6500,11001006500,2531,2088,228,13,113,123,122.5701721,0.1915159,3386.495881,496023.891
8,tract1500,11001001500,5911,4877,643,7,145,304,1161.050947,1.81414212,10650.32709,4698606.509
9,tract1600,11001001600,3957,997,2670,8,55,200,667.006081,1.04219701,8627.683622,2699277.859
10,tract1702,11001001702,2644,1020,1342,6,79,212,229.8159726,0.35908746,4873.125958,930032.2503
11,tract100,11001000100,4890,4444,105,9,201,296,585.8460139,0.9153844,10028.23629,2370834.718
12,tract201,11001000201,3916,2940,259,7,482,275,133.3261666,0.20832214,3249.765438,539551.8568
13,tract202,11001000202,5425,4705,159,5,375,343,305.0394643,0.47662417,6742.459377,1234450.922
14,tract300,11001000300,6233,5497,139,11,352,404,252.6031958,0.3946925,4077.691319,1022248.871
15,tract400,11001000400,1455,1247,50,2,103,123,378.3828244,0.59122317,5949.909534,1531260.972
16,tract501,11001000501,3376,2853,124,7,249,231,233.3842638,0.36466291,6813.633099,944472.6123
17,tract902,11001000902,2092,1861,67,4,77,107,538.8019552,0.84187806,8704.287793,2180454.166
18,tract1001,11001001001,7436,6342,298,17,432,512,606.4017844,0.94750279,6507.906513,2454020.97
19,tract1002,11001001002,3442,2788,185,7,311,271,219.8340534,0.34349071,3952.278513,889636.8563
20,tract4001,11001004001,3745,3237,139,5,162,345,68.1625484,0.10650398,2361.335362,275844.0484
21,tract4002,11001004002,2797,2232,226,4,181,250,48.45148116,0.07570544,2132.734912,196076.1889
22,tract4100,11001004100,2708,2261,115,9,181,259,201.8685548,0.31541962,3872.498178,816933.0623
23,tract4201,11001004201,3342,2721,240,5,215,266,50.53509473,0.07896109,1842.645783,204508.2739
24,tract4202,11001004202,2771,2281,129,10,216,215,51.4938138,0.08045908,2102.861146,208388.0723
25,tract4300,11001004300,3255,1849,901,18,157,492,58.47083608,0.09136068,2045.425608,236623.0799
26,tract4400,11001004400,4572,2989,1016,24,260,417,128.9127883,0.20142623,2944.721437,521691.5484
27,tract1100,11001001100,4779,4012,290,9,273,306,414.2539778,0.64727184,5698.762332,1676426.38
28,tract1200,11001001200,5008,4073,272,18,388,399,300.9975507,0.47030868,4907.033192,1218093.879
29,tract1301,11001001301,3955,3047,374,7,357,290,705.1114613,1.10173667,8777.811293,2853484.862
30,tract1302,11001001302,6857,5596,379,13,595,483,393.41836,0.61471619,6378.54781,1592107.626
31,tract1401,11001001401,3078,2541,178,5,198,210,194.7810138,0.30434534,4033.370295,788250.8012
32,tract1402,11001001402,2998,2334,356,5,160,232,221.1892816,0.34560825,4867.514204,895121.27
33,tract502,11001000502,3189,2720,95,15,192,271,143.6782056,0.2244972,4037.961014,581445.0726
34,tract1803,11001001803,3514,354,2372,7,73,838,289.1744935,0.45183515,4709.910531,1170247.663
35,tract1804,11001001804,4480,549,2983,20,51,1211,148.6879204,0.23232488,3404.953403,601718.6691
36,tract1901,11001001901,4016,424,3023,31,36,625,190.0412065,0.29693939,3629.655443,769069.4817
37,tract3301,11001003301,3198,959,1998,7,62,125,108.6302189,0.16973472,3304.154907,439610.9018
38,tract3302,11001003302,2134,735,1216,7,41,128,49.07735171,0.07668336,1890.785622,198608.9971
39,tract8804,11001008804,2412,106,2183,7,3,130,194.5054049,0.3039147,3936.333064,787135.4519
40,tract8903,11001008903,2633,48,2493,4,7,67,74.0038484,0.11563101,2991.03481,299482.951
41,tract8904,11001008904,3309,33,3170,8,10,61,112.8069603,0.17626088,3121.43913,456513.5745
42,tract9000,11001009000,2732,113,2431,6,68,76,359.7195472,0.5620618,5394.277842,1455733.369
